Rollouts,Learning Rate,Reward,Samples,Timesteps,Alpha
3396,0.05,304.84765611650505,11,47234,0.0
3418,0.05,268.6987765352124,11,47602,0.0
3440,0.05,231.5907818308449,11,48057,0.0
3462,0.05,240.60824314169727,11,48532,0.0
3484,0.05,221.98384410023564,11,48877,0.0
3506,0.05,241.0085236936636,11,49245,0.0
3528,0.05,212.9215165378409,11,49661,0.0
3550,0.05,193.22280074019343,11,50073,0.0
3572,0.05,319.8266329018606,11,50497,0.0
3594,0.05,203.08556374960799,11,50876,0.0
3616,0.05,276.90705534270114,11,51330,0.0
3638,0.05,321.6531545966997,11,51838,0.0
3660,0.05,304.10887378945233,11,52220,0.0
3682,0.05,295.95362244742165,11,52629,0.0
3704,0.05,304.6978670350669,11,53010,0.0
3726,0.05,222.0122067761549,11,53469,0.0
3748,0.05,256.88558375549013,11,53929,0.0
3770,0.05,285.9156495364728,11,54317,0.0
3792,0.05,350.3025234920202,11,54745,0.0
3814,0.05,250.01523558966497,11,55147,0.0
3836,0.05,209.65758917346724,11,55601,0.0
3858,0.05,212.22826504420502,11,56086,0.0
3880,0.05,220.13985090031576,11,56523,0.0
3902,0.05,314.5492711653463,11,56996,0.0
3924,0.05,276.0023025265332,11,57440,0.0
3946,0.05,240.10908722834364,11,57900,0.0
3968,0.05,314.42990106806127,11,58366,0.0
3990,0.05,285.2749809887278,11,58796,0.0
4012,0.05,296.52561437235096,11,59245,0.0
4034,0.05,285.5712845353441,11,59742,0.0
4056,0.05,295.36484456371625,11,60161,0.0
4078,0.05,276.9866042182215,11,60694,0.0
4100,0.05,267.78683175034297,11,61121,0.0
4122,0.05,250.3973273656352,11,61611,0.0
4144,0.05,201.77520222795417,11,62138,0.0
4166,0.05,268.1234860008907,11,62520,0.0
4188,0.05,342.14875395762306,11,62865,0.0
4210,0.05,295.47634176052986,11,63294,0.0
4232,0.05,276.5906804313053,11,63649,0.0
4254,0.05,277.05442994705817,11,64049,0.0
4276,0.05,277.02068886001297,11,64477,0.0
4298,0.05,286.0751580488081,11,64888,0.0
4320,0.05,276.49010818697167,11,65384,0.0
4342,0.05,267.76291713828294,11,65780,0.0
4364,0.05,267.5104008002032,11,66191,0.0
4386,0.05,267.83828839459375,11,66678,0.0
4408,0.05,268.48033163526145,11,67170,0.0
4430,0.05,250.14214452931165,11,67627,0.0
4452,0.05,321.5229984603711,11,68129,0.0
4474,0.05,240.12112421701787,11,68625,0.0
4496,0.05,314.71788310831903,11,69089,0.0
4518,0.05,257.9575778331573,11,69505,0.0
4540,0.05,201.57268896701487,11,70014,0.0
4562,0.05,302.6430892347343,11,70456,0.0
4584,0.05,267.8186716895593,11,70891,0.0
4606,0.05,321.29138382917995,11,71334,0.0
4628,0.05,277.13744148136544,11,71791,0.0
4650,0.05,312.83066629449604,11,72261,0.0
4672,0.05,305.13072974541444,11,72702,0.0
4694,0.05,324.0872510703748,11,73136,0.0
4716,0.05,315.06794590677436,11,73625,0.0
4738,0.05,277.0124192248705,11,74077,0.0
4760,0.05,240.5739967216064,11,74507,0.0
4782,0.05,287.18347264048845,11,74988,0.0
4804,0.05,276.2722770335456,11,75418,0.0
4826,0.05,230.89564089587773,11,75881,0.0
4848,0.05,212.76263936930997,11,76318,0.0
4870,0.05,249.1228089313368,11,76698,0.0
4892,0.05,256.825989046145,11,77286,0.0
4914,0.05,220.43823442455647,11,77747,0.0
4936,0.05,217.49079226532464,11,78182,0.0
4958,0.05,192.7849331897923,11,78666,0.0
4980,0.05,221.40815034184283,11,79192,0.0
5002,0.05,286.91628686465043,11,79724,0.0
5024,0.05,267.12021864120965,11,80218,0.0
5046,0.05,333.9463884345118,11,80652,0.0
5068,0.05,350.2209530639909,11,81190,0.0
5090,0.05,254.47578638511303,11,81661,0.0
5112,0.05,286.55673364435734,11,82040,0.0
5134,0.05,230.46585924490572,11,82454,0.0
5156,0.05,229.24561215115145,11,82927,0.0
5178,0.05,305.50200377118745,11,83326,0.0
5200,0.05,295.4069603793672,11,83815,0.0
5222,0.05,314.30778708893104,11,84356,0.0
5244,0.05,324.0320116750582,11,84825,0.0
5266,0.05,324.4620029268076,11,85323,0.0
5288,0.05,323.0382228350965,11,85811,0.0
5310,0.05,314.1640329100869,11,86329,0.0
5332,0.05,360.67830920667046,11,86837,0.0
5354,0.05,333.5220725867786,11,87383,0.0
5376,0.05,406.08135053895927,11,87944,0.0
5398,0.05,333.8053497733531,11,88425,0.0
5420,0.05,286.9675614548592,11,88880,0.0
5442,0.05,305.33417667728685,11,89403,0.0
5464,0.05,276.99132335335156,11,89919,0.0
5486,0.05,341.62369753661255,11,90392,0.0
5508,0.05,377.9939136893068,11,90986,0.0
5530,0.05,277.9795915792814,11,91531,0.0
5552,0.05,286.81359747809284,11,92039,0.0
5574,0.05,296.23243290814617,11,92594,0.0
5596,0.05,313.9116036566595,11,93192,0.0
5618,0.05,378.4462798842069,11,93612,0.0
5640,0.05,342.05111090334594,11,94181,0.0
5662,0.05,349.1391915691841,11,94669,0.0
5684,0.05,341.01788652690846,11,95253,0.0
5706,0.05,287.12112872304726,11,95816,0.0
5728,0.05,349.68943543475217,11,96382,0.0
5750,0.05,311.9256101091995,11,96886,0.0
5772,0.05,395.46714675815394,11,97427,0.0
5794,0.05,341.4931814373573,11,97974,0.0
5816,0.05,295.61877504067553,11,98555,0.0
5838,0.05,295.2616468095625,11,99066,0.0
5860,0.05,295.2794100097235,11,99596,0.0
5882,0.05,397.474571489534,11,100177,0.0
5904,0.05,341.5223527607285,11,100728,0.0
5926,0.05,358.69708661818396,11,101138,0.0
5948,0.05,321.087498937813,11,101672,0.0
5970,0.05,378.4666470356261,11,102255,0.0
5992,0.05,332.71246316594556,11,102733,0.0
6014,0.05,369.9888856021534,11,103332,0.0
6036,0.05,277.6714306455874,11,103825,0.0
6058,0.05,305.10121754186673,11,104375,0.0
6080,0.05,249.53928199541582,11,104933,0.0
6102,0.05,368.5190262033927,11,105422,0.0
6124,0.05,341.1957248173229,11,105997,0.0
6146,0.05,295.6684804128718,11,106637,0.0
6168,0.05,377.43768820330337,11,107086,0.0
6190,0.05,368.00711645584624,11,107680,0.0
6212,0.05,302.76916320839143,11,108305,0.0
6234,0.05,376.59704420123205,11,108785,0.0
6256,0.05,294.68504181826756,11,109248,0.0
6278,0.05,350.8229710568859,11,109841,0.0
6300,0.05,295.31091636666844,11,110448,0.0
6322,0.05,296.4289471568592,11,111039,0.0
6344,0.05,230.77086356574563,11,111594,0.0
6366,0.05,230.8601680122866,11,112094,0.0
6388,0.05,230.54438477411617,11,112593,0.0
6410,0.05,296.1770151631206,11,113148,0.0
6432,0.05,312.4947683671625,11,113635,0.0
6454,0.05,369.3779504911207,11,114182,0.0
6476,0.05,266.26517934579203,11,114813,0.0
6498,0.05,277.85454394658296,11,115402,0.0
6520,0.05,277.5964456862121,11,115983,0.0
6542,0.05,406.77321692616516,11,116477,0.0
6564,0.05,426.29649160657124,11,117058,0.0
6586,0.05,398.3766824299946,11,117653,0.0
6608,0.05,397.89829718015994,11,118114,0.0
6630,0.05,388.2696260889903,11,118528,0.0
6652,0.05,454.0715518445877,11,119050,0.0
6674,0.05,435.739869486071,11,119598,0.0
6696,0.05,379.4081361356777,11,120190,0.0
6718,0.05,407.20096199106484,11,120624,0.0
6740,0.05,341.7344603726285,11,121278,0.0
6762,0.05,462.72960026659445,11,121865,0.0
6784,0.05,388.4021565142467,11,122406,0.0
6806,0.05,388.9315440255026,11,122961,0.0
6828,0.05,397.44074998783697,11,123643,0.0
6850,0.05,407.96755045744993,11,124104,0.0
6872,0.05,444.6986633004765,11,124651,0.0
6894,0.05,416.7620013158757,11,125277,0.0
6916,0.05,360.1863636103045,11,125863,0.0
6938,0.05,435.11174091048804,11,126453,0.0
6960,0.05,324.08993570834826,11,126956,0.0
6982,0.05,463.05565941307833,11,127511,0.0
7004,0.05,398.1207704185965,11,128094,0.0
7026,0.05,378.7688424830008,11,128524,0.0
7048,0.05,444.014496438049,11,129078,0.0
7070,0.05,398.20012989150985,11,129581,0.0
7092,0.05,378.05910361539924,11,130150,0.0
7114,0.05,387.5554431752899,11,130690,0.0
7136,0.05,472.97471954061274,11,131194,0.0
7158,0.05,416.52162753189583,11,131761,0.0
7180,0.05,454.32223157789105,11,132422,0.0
7202,0.05,453.9642871535205,11,133112,0.0
7224,0.05,453.18857198512427,11,133730,0.0
7246,0.05,472.4886702920535,11,134421,0.0
7268,0.05,378.56953004554987,11,135211,0.0
7290,0.05,323.8346872978208,11,135772,0.0
7312,0.05,416.90809035158065,11,136456,0.0
7334,0.05,435.11730221421516,11,137119,0.0
7356,0.05,416.2213328276629,11,137668,0.0
7378,0.05,454.0619310393697,11,138336,0.0
7400,0.05,500.69902033684065,11,139006,0.0
7422,0.05,528.7924171330761,11,139680,0.0
7444,0.05,492.1111192651366,11,140274,0.0
7466,0.05,529.1263647310475,11,140973,0.0
7488,0.05,473.06661539407213,11,141696,0.0
7510,0.05,491.5606206576822,11,142156,0.0
7532,0.05,472.7653840420696,11,142867,0.0
7554,0.05,510.25764313420996,11,143492,0.0
7576,0.05,538.5436778064939,11,144047,0.0
7598,0.05,482.4663408923197,11,144789,0.0
7620,0.05,491.34063534803084,11,145409,0.0
7642,0.05,407.019064650217,11,145826,0.0
7664,0.05,452.7213004793932,11,146372,0.0
7686,0.05,482.04094597381373,11,146988,0.0
7708,0.05,676.5908704170272,11,147577,0.0
7730,0.05,499.92021191974493,11,148134,0.0
7752,0.05,425.94392250040664,11,148715,0.0
7774,0.05,482.1287565022063,11,149302,0.0
7796,0.05,556.9219640222275,11,149924,0.0
7818,0.05,519.5662672519269,11,150616,0.0
7840,0.05,547.2135150531385,11,151251,0.0
7862,0.05,509.3917608972655,11,151836,0.0
7884,0.05,472.91662786600926,11,152377,0.0
7906,0.05,482.3599994222615,11,152921,0.0
7928,0.05,566.0091995336834,11,153532,0.0
7950,0.05,490.95667576346733,11,153953,0.0
7972,0.05,547.9748519360659,11,154637,0.0
7994,0.05,537.5684901429067,11,155205,0.0
8016,0.05,584.6258800827075,11,155788,0.0
8038,0.05,481.46819083086973,11,156277,0.0
8060,0.05,556.4549546312921,11,156891,0.0
8082,0.05,547.6124549216917,11,157435,0.0
8104,0.05,593.8515368198591,11,158036,0.0
8126,0.05,565.496087079461,11,158710,0.0
8148,0.05,519.345044673652,11,159244,0.0
8170,0.05,425.71817145768154,11,159817,0.0
8192,0.05,630.1076421080074,11,160465,0.0
8214,0.05,423.2849797078182,11,161253,0.0
8236,0.05,481.58020165223013,11,161924,0.0
8258,0.05,611.9919846942247,11,162541,0.0
8280,0.05,537.5793507334063,11,163364,0.0
8302,0.05,369.7958606002595,11,163970,0.0
8324,0.05,490.80860259221873,11,164719,0.0
8346,0.05,454.3060440248727,11,165448,0.0
8368,0.05,453.82133156711194,11,166136,0.0
8390,0.05,454.4777694136937,11,166673,0.0
8412,0.05,435.3632182370967,11,167235,0.0
8434,0.05,482.5603197765053,11,167821,0.0
8456,0.05,435.22430016906395,11,168482,0.0
8478,0.05,426.4653363237095,11,169120,0.0
8500,0.05,519.9319947312622,11,169811,0.0
8522,0.05,491.89775684508095,11,170463,0.0
8544,0.05,584.7364654086075,11,171271,0.0
8566,0.05,519.9144795953687,11,172086,0.0
8588,0.05,500.7848043375622,11,172768,0.0
8610,0.05,547.2903406236433,11,173461,0.0
8632,0.05,715.2019202965602,11,174218,0.0
8654,0.05,631.3435237974519,11,175119,0.0
8676,0.05,631.7965169981917,11,175812,0.0
8698,0.05,697.1465585993493,11,176500,0.0
8720,0.05,482.52695857956724,11,177143,0.0
8742,0.05,501.25922118449,11,177732,0.0
8764,0.05,585.0006949850082,11,178358,0.0
8786,0.05,575.4713771494736,11,178954,0.0
8808,0.05,761.7103434199153,11,179510,0.0
8830,0.05,640.4493282376277,11,180212,0.0
8852,0.05,491.30516005760774,11,180955,0.0
8874,0.05,491.39643373491674,11,181701,0.0
8896,0.05,473.25340594952456,11,182520,0.0
8918,0.05,417.34331922899764,11,183137,0.0
8940,0.05,519.3238620663503,11,183782,0.0
8962,0.05,565.637384240122,11,184552,0.0
8984,0.05,649.8853161844801,11,185242,0.0
9006,0.05,528.9609741196672,11,185807,0.0
9028,0.05,492.0050554345366,11,186621,0.0
9050,0.05,584.8082057957757,11,187316,0.0
9072,0.05,566.5675402710148,11,188265,0.0
9094,0.05,612.6436411036414,11,189118,0.0
9116,0.05,631.4330827252328,11,189848,0.0
9138,0.05,752.2889518759663,11,190544,0.0
9160,0.05,724.694154145592,11,191483,0.0
9182,0.05,668.1716647894704,11,192173,0.0
9204,0.05,659.59556378642,11,192841,0.0
9226,0.05,631.7749116079877,11,193311,0.0
9248,0.05,695.9826070588462,11,194068,0.0
9270,0.05,557.0897933899107,11,194608,0.0
9292,0.05,659.0025683727027,11,195158,0.0
9314,0.05,538.38954666882,11,195897,0.0
9336,0.05,528.4516452081881,11,196752,0.0
9358,0.05,611.9719856025442,11,197550,0.0
9380,0.05,779.7505268193557,11,198454,0.0
9402,0.05,472.69657579506156,11,199152,0.0
9424,0.05,575.1389351124253,11,200053,0.0
9446,0.05,463.6506085502555,11,200951,0.0
9468,0.05,556.890377159277,11,201565,0.0
9490,0.05,520.0284465195931,11,202441,0.0
9512,0.05,500.871912697984,11,203108,0.0
9534,0.05,584.9606084150577,11,203848,0.0
9556,0.05,641.3818722071763,11,204552,0.0
9578,0.05,584.7423283743623,11,205430,0.0
9600,0.05,528.6670586788421,11,206268,0.0
9622,0.05,687.4162664464733,11,207074,0.0
9644,0.05,742.3639000017707,11,207983,0.0
9666,0.05,667.9875197825089,11,208861,0.0
9688,0.05,780.3196132289004,11,209658,0.0
9710,0.05,827.3047287259957,11,210512,0.0
9732,0.05,882.8351239447372,11,211084,0.0
9754,0.05,864.0862347767237,11,211921,0.0
9776,0.05,845.5391429006967,11,212679,0.0
9798,0.05,939.2745849644951,11,213320,0.0
9820,0.05,752.1545541969717,11,214243,0.0
9842,0.05,697.2223756673881,11,214959,0.0
9864,0.05,687.4398889605343,11,215841,0.0
9886,0.05,762.2358667122526,11,216739,0.0
9908,0.05,650.0672686195799,11,217637,0.0
9930,0.05,677.8174217781157,11,218303,0.0
9952,0.05,696.350356260195,11,219051,0.0
9974,0.05,686.8697015308574,11,220025,0.0
9996,0.05,687.59882153291,11,221102,0.0
10018,0.05,697.1046789861239,11,221870,0.0
10040,0.05,687.2219354425686,11,222673,0.0
10062,0.05,659.2396706255456,11,223343,0.0
10084,0.05,621.8401273470099,11,224068,0.0
10106,0.05,650.028760538834,11,224817,0.0
10128,0.05,733.6695134832347,11,225740,0.0
10150,0.05,593.4687306727436,11,226459,0.0
10172,0.05,742.4529632629849,11,227070,0.0
10194,0.05,490.7299171620594,11,227947,0.0
10216,0.05,685.7156642377232,11,228630,0.0
10238,0.05,603.3494803126808,11,229323,0.0
10260,0.05,659.3298524139277,11,229950,0.0
10282,0.05,538.0984168230274,11,230763,0.0
10304,0.05,770.9272675532287,11,231475,0.0
10326,0.05,724.54608404177,11,232267,0.0
10348,0.05,705.2863716312299,11,233048,0.0
10370,0.05,752.1591849001679,11,233930,0.0
10392,0.05,724.227407195632,11,234467,0.0
10414,0.05,650.0951620641391,11,235388,0.0
10436,0.05,641.1236875227177,11,236071,0.0
10458,0.05,696.7191185916056,11,236864,0.0
10480,0.05,602.7780123554337,11,237660,0.0
10502,0.05,454.3840258560848,11,238344,0.0
10524,0.05,760.6960141094579,11,239063,0.0
10546,0.05,424.3891570015241,11,239977,0.0
10568,0.05,705.6304120527309,11,240798,0.0
10590,0.05,695.8509034572686,11,241504,0.0
10612,0.05,677.8951531763246,11,242222,0.0
10634,0.05,556.9351336735942,11,242890,0.0
10656,0.05,704.0923546600345,11,243819,0.0
10678,0.05,677.3816908917286,11,244602,0.0
10700,0.05,528.8719844030782,11,245343,0.0
10722,0.05,472.6866839567302,11,246118,0.0
10744,0.05,603.2608530667324,11,246722,0.0
10766,0.05,482.2621382494226,11,247298,0.0
10788,0.05,435.73256141578844,11,247890,0.0
10810,0.05,733.7388502337601,11,248703,0.0
10832,0.05,696.7146548171727,11,249436,0.0
10854,0.05,742.853699936622,11,250081,0.0
10876,0.05,733.682930821672,11,250568,0.0
10898,0.05,639.8851913937496,11,251367,0.0
10920,0.05,668.4916685894641,11,252143,0.0
10942,0.05,695.6888017031117,11,253001,0.0
10964,0.05,658.3779401330402,11,253836,0.0
10986,0.05,714.1634017282,11,254804,0.0
11008,0.05,733.2332809754541,11,255660,0.0
11030,0.05,640.395764976864,11,256332,0.0
11052,0.05,547.3582564511677,11,257168,0.0
11074,0.05,677.2177161119547,11,257936,0.0
11096,0.05,528.945842754811,11,258839,0.0
11118,0.05,659.3085363334213,11,259465,0.0
11140,0.05,473.19633204437326,11,260223,0.0
11162,0.05,500.9250023351952,11,260878,0.0
11184,0.05,733.7756082189766,11,261634,0.0
